
> global-under16-reg-dashboard-backend@0.1.0 crawl
> tsx src/crawl-cli.ts

Starting crawl pipeline...

[START       ] Crawl run #2 started with 84 sources
[CRAWL       ] Crawling 84 sources...
[CRAWL       ] [1/84] Crawled: FTC Children's Privacy (COPPA)
[CRAWL       ] [2/84] Crawled: FTC Kids' Privacy (COPPA) News
[CRAWL       ] [3/84] Crawled: FTC Children's Privacy Business Guidance
[CRAWL       ] [4/84] Crawled: Federal Register — COPPA Rule Final Amendments 2025
[CRAWL       ] [5/84] Crawled: FTC COPPA Finalization Press Release (Jan 2025)
[CRAWL       ] [6/84] Crawled: GovTrack — KOSA S.1748 Tracker
[CRAWL       ] [7/84] Crawled: TechPolicy.Press — KOSA Tracker
[CRAWL       ] [8/84] Crawled: California AADC (AB-2273)
[CRAWL       ] [9/84] Crawled: NY AG — SAFE for Kids Act
[CRAWL       ] [10/84] Crawled: Texas AG — SCOPE Act (HB 18)
[CRAWL       ] [11/84] Crawled: Florida — HB 3 Online Protections for Minors
[CRAWL       ] [12/84] Crawled: Orrick — US State Online Safety Law Tracker
[CRAWL       ] [13/84] Crawled: Inside Privacy — State & Federal Minors' Privacy 2025
[CRAWL       ] [14/84] Crawled: Mayer Brown — States & FTC Children's Privacy Actions
[CRAWL       ] [15/84] Crawled: Hunton — Arkansas Social Media Safety Act Amendment
[CRAWL       ] [16/84] Crawled: EU Digital Services Act
[CRAWL       ] [17/84] Crawled: EC — DSA Article 28 Minors Guidelines
[CRAWL       ] [18/84] Crawled: DSA Article 28 — Full Text
[CRAWL       ] [19/84] Crawled: EDPB — Children Topic Documents
[CRAWL       ] [20/84] Crawled: EDPB — Data Protection Day 2026 Children Statement
[CRAWL       ] [21/84] Crawled: EU FRA — Consent Ages Across Member States
[CRAWL       ] [22/84] Crawled: France CNIL — Digital Rights of Children
[CRAWL       ] [23/84] Crawled: France CNIL — 8 Recommendations for Children Online
[CRAWL       ] [24/84] Crawled: Ireland DPC — Child-Oriented Data Processing Fundamentals
[CRAWL       ] [25/84] Crawled: Germany BfDI
[CRAWL       ] [26/84] Crawled: Italy Garante Privacy
[CRAWL       ] [27/84] Crawled: Spain AEPD — Children's Digital Protection
[CRAWL       ] [28/84] Crawled: Netherlands — Autoriteit Persoonsgegevens
[CRAWL       ] [29/84] Crawled: GOV.UK — Online Safety Act Explainer
[CRAWL       ] [30/84] Crawled: Ofcom — Children's Safety Codes Statement
[CRAWL       ] [31/84] Crawled: Ofcom — Quick Guide to Children's Safety Codes
[CRAWL       ] [32/84] Crawled: ICO — Children's Code Guidance
[CRAWL       ] [33/84] Crawled: UK Online Safety Act 2023
[CRAWL       ] [34/84] Crawled: eSafety — Social Media Age Restrictions
[CRAWL       ] [35/84] Crawled: eSafety — Young People Social Media Restrictions
[CRAWL       ] [36/84] Crawled: Australia — Social Media Minimum Age Policy
[CRAWL       ] [37/84] Crawled: Australia Online Safety Act 2021
[CRAWL       ] [38/84] Crawled: Canada Online Harms Act (C-63) LEGISinfo
[CRAWL       ] [39/84] Crawled: DOJ Canada — Bill C-63 Charter Statement
[CRAWL       ] [40/84] Crawled: OPC Canada — Bill S-210 Analysis
[CRAWL       ] [41/84] Crawled: China — Regulations on Protection of Minors Online
[CRAWL       ] [42/84] Crawled: China — Overview of Minors Online Protections
[CRAWL       ] [43/84] Crawled: Singapore PDPC — Children's Data Guidelines
[CRAWL       ] [44/84] Crawled: South Korea Youth Protection Act
[CRAWL       ] [45/84] Crawled: India — DPDP Act Children's Data (K&S Analysis)
[CRAWL       ] [46/84] Crawled: India — ORF DPDP Rules Child Data Safety
[CRAWL       ] [47/84] Crawled: A&O Shearman — APAC Children's Data Privacy Trends
[CRAWL       ] [48/84] Crawled: ITIF — China Minor Mode Analysis
[CRAWL       ] [49/84] Crawled: Hunton — China Draft Measures for Minors Online
[CRAWL       ] [50/84] Crawled: Brazil — ECA Digital Law (Inside Privacy)
[CRAWL       ] [51/84] Crawled: Brazil — IAPP Child Online Safety Bill Analysis
[CRAWL       ] [52/84] Crawled: Brazil — HRW Landmark Law Report
[CRAWL       ] [53/84] Crawled: DLA Piper — South Africa POPIA
[CRAWL       ] [54/84] Crawled: Secure Privacy — UAE Data Protection Guide
[CRAWL       ] [55/84] Crawled: Secure Privacy — Nigeria Data Protection Guide
[CRAWL       ] [56/84] Crawled: Africa HR — Data Laws Across Africa
[CRAWL       ] [57/84] Crawled: UN — Child and Youth Safety Online
[CRAWL       ] [58/84] Crawled: ITU — Child Online Protection Guidelines
[CRAWL       ] [59/84] Crawled: 5Rights Foundation
[CRAWL       ] [60/84] Crawled: Common Sense Media
[CRAWL       ] [61/84] Crawled: IWF — Online Safety Act Explained
[CRAWL       ] [62/84] Crawled: WeProtect Global Alliance — Global Threat Assessment
[CRAWL       ] [63/84] Crawled: GPEN Enforcement Sweep — Children's Data Protection
[CRAWL       ] [64/84] Crawled: Hunton — FTC COPPA Rule Final Amendments
[CRAWL       ] [65/84] Crawled: Reuters — Global Children's Social Media Legislation
[CRAWL       ] [66/84] Crawled: TechPolicy.Press — US States Child Safety 2026 Outlook
[CRAWL       ] [67/84] Crawled: Google News — KOSA Kids Online Safety Act
[CRAWL       ] [68/84] Crawled: Google News — COPPA 2.0 Children Privacy
[CRAWL       ] [69/84] Crawled: Google News — Children Online Safety Regulation
